PIVlab, ASCII chart output - 03-Feb-2026
FRAME: 74, filenames: MEAN of frames 1:73 & MEAN of frames 1:73, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
661,331,-7.364703178,9.792635918,2
661,347,-6.031879425,9.939115524,2
661,363,-4.566390991,9.453672409,2
661,379,-4.449058056,8.488788605,2
661,395,-1.770612717,7.036085606,2
661,411,-1.746494889,8.27056694,2
661,427,-0.8738684654,8.221425056,1
661,443,1.853494287,5.784154892,2
661,459,3.239844322,7.354264736,1
661,475,4.580132484,8.660793304,1
661,491,4.55405283,9.922283173,1
661,507,7.430256367,9.730258942,1
661,523,9.019310951,9.306472778,1
661,539,10.61320972,9.014081955,1
661,555,12.65076256,8.672774315,1
661,571,12.98470688,7.958335876,1
661,587,13.88064861,8.502396584,1
661,603,13.59707546,7.224816799,1
661,619,15.30131054,7.214353085,1
661,635,14.82432461,6.356323719,1
661,651,13.845191,5.886903763,1
661,667,13.76241779,5.722945213,1
661,683,13.13052368,5.0691576,1
661,699,12.8351965,4.832828522,1
661,715,11.33942223,3.855344534,2
661,731,10.91876316,3.169146299,2
661,747,19.7147541,6.956046581,1
661,763,NaN,NaN,0
677,91,-4.416721344,1.43311131,2
677,107,-11.97925949,3.988006353,2
677,123,-10.53297234,3.978393078,2
677,139,-11.0212841,3.78627491,2
677,155,-11.55798912,4.663083076,1
677,171,-11.96726799,4.824819565,2
677,187,-12.56869125,5.550839424,1
677,203,-12.77575493,6.030304432,1
677,219,-12.44293213,6.390689373,1
677,235,-9.602468491,5.492484093,2
677,251,-10.51008224,6.546417236,2
677,267,-11.04273415,6.9133811,2
677,283,NaN,NaN,2
677,299,-10.59234142,8.465922356,2
677,315,-8.788760185,7.838436604,2
677,331,-6.590894699,9.423567772,2
677,347,-4.595536709,8.156644821,2
677,363,-4.975959778,8.468596458,1
677,379,-2.393805027,6.686855793,2
677,395,-2.504286766,7.023705959,2
677,411,-2.392925501,6.329729557,2
677,427,-0.01128953416,7.729090691,1
677,443,2.672416449,7.40214777,2
677,459,3.672616482,7.075200081,2
677,475,4.080509186,5.919692039,1
677,491,4.388775826,6.820781708,1
677,507,6.849778652,8.212249756,1
677,523,9.948308945,8.246415138,1
677,539,10.5745697,6.995862961,1
677,555,11.79426098,7.229436398,1
677,571,13.12471676,7.171340942,1
677,587,13.41410542,7.023979187,1
677,603,14.24432755,6.162521362,1
677,619,15.28051853,6.25669384,1
677,635,13.74627018,5.074439526,1
677,651,13.20306396,4.628488064,1
677,667,13.69958401,4.636749744,1
677,683,13.44632721,4.156001568,1
677,699,14.16255569,3.944103718,1
677,715,12.04962349,3.199402094,2
677,731,11.16916275,2.495216846,2
677,747,19.32603455,5.0767169,1
677,763,NaN,NaN,0
693,91,-10.62974262,2.854792356,1
693,107,-13.14224625,3.417684078,2
693,123,-9.955961227,2.784096479,2
693,139,-11.33145332,3.515846729,2
693,155,-11.56956005,3.888978004,2
693,171,-13.26094055,4.7835536,1
693,187,-12.8448534,4.827836514,2
693,203,-13.65786171,5.372916698,1
693,219,-13.52144432,6.112941265,2
